image_path,invoice_nr_gt,date_gt,total_amount_gt,invoice_nr_pred,date_pred,total_amount_pred,raw_prediction
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0001.png,40378170,10/15/2012,"8,25",40378170,10/15/2012,825,"{""invoice_nr"": 40378170, ""date"": ""10/15/2012"", ""total_amount"": ""825""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0002.png,61356291,09/06/2012,"212,09",61356291,09/06/2012,"212,09","{
  ""invoice_nr"": ""61356291"",
  ""date"": ""09/06/2012"",
  ""total_amount"": ""212,09""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0003.png,49565075,10/28/2019,"96,73",49565075,10/28/2019,9673,"{
  ""invoice_nr"": ""49565075"",
  ""date"": ""10/28/2019"",
  ""total_amount"": ""9673""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0004.png,95611677,07/19/2016,"1054,10",95611677,07/19/2016,105410,"{
  ""invoice_nr"": ""95611677"",
  ""date"": ""07/19/2016"",
  ""total_amount"": ""105410""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0005.png,26020078,11/19/2019,"116,52",26020078,11/19/2019,11652,"{
  ""invoice_nr"": ""26020078"",
  ""date"": ""11/19/2019"",
  ""total_amount"": ""11652""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0006.png,42485588,03/15/2012,"214,41",42485588,03/15/2012,21441,"{
  ""invoice_nr"": ""42485588"",
  ""date"": ""03/15/2012"",
  ""total_amount"": ""21441""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0007.png,94689364,01/12/2015,"37153,67",94689364,01/12/2015,3715367,"{
  ""invoice_nr"": ""94689364"",
  ""date"": ""01/12/2015"",
  ""total_amount"": ""3715367""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0008.png,48402876,02/06/2020,"4618,75",48402876,02/06/2020,461875,"{
  ""invoice_nr"": ""48402876"",
  ""date"": ""02/06/2020"",
  ""total_amount"": ""461875""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0009.png,,03/23/2019,"131,98",11158119,03/23/2019,13198,"{
  ""invoice_nr"": ""11158119"",
  ""date"": ""03/23/2019"",
  ""total_amount"": ""13198""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0010.png,,,,86268868,03/30/2012,3694622,"{""invoice_nr"": ""86268868"", ""date"": ""03/30/2012"", ""total_amount"": ""3694622""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0011.png,39280409,07/06/2014,"1767,34",39280409,07/06/2014,176734,"{
  ""invoice_nr"": ""39280409"",
  ""date"": ""07/06/2014"",
  ""total_amount"": ""176734""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0012.png,,,,87278875,07/06/2019,7561,"{""invoice_nr"": 87278875, ""date"": ""07/06/2019"", ""total_amount"": ""7561""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0013.png,53737787,12/08/2011,"205,50",53737787,12/08/2011,20550,"{
  ""invoice_nr"": ""53737787"",
  ""date"": ""12/08/2011"",
  ""total_amount"": ""20550""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0014.png,76999802,07/14/2020,"81661,14",76999802,07/14/2020,8166114,"{
  ""invoice_nr"": ""76999802"",
  ""date"": ""07/14/2020"",
  ""total_amount"": ""8166114""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0015.png,61619303,09/20/2013,"1057,33",61619303,09/20/2013,105733,"{
  ""invoice_nr"": ""61619303"",
  ""date"": ""09/20/2013"",
  ""total_amount"": ""105733""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0016.png,56514066,05/14/2014,"49,38",56514066,05/14/2014,"49,38","{
  ""invoice_nr"": ""56514066"",
  ""date"": ""05/14/2014"",
  ""total_amount"": ""49,38""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0017.png,74322107,02/02/2016,"68,16",74322107,02/02/2016,"68,16","{
  ""invoice_nr"": ""74322107"",
  ""date"": ""02/02/2016"",
  ""total_amount"": ""68,16""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0018.png,33931957,12/17/2015,"27,50",33931957,12/17/2015,"27,50","{""invoice_nr"": 33931957, ""date"": ""12/17/2015"", ""total_amount"": ""27,50""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0019.png,70372519,05/01/2013,"4916,88",70372519,05/01/2013,"4916,88","{""invoice_nr"": ""70372519"", ""date"": ""05/01/2013"", ""total_amount"": ""4916,88""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0020.png,94133236,12/12/2019,"114385,48",94133236,12/12/2019,11438548,"{
  ""invoice_nr"": ""94133236"",
  ""date"": ""12/12/2019"",
  ""total_amount"": ""11438548""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0021.png,51686132,06/27/2015,"1523,45",51686132,06/27/2015,152345,"{
  ""invoice_nr"": ""51686132"",
  ""date"": ""06/27/2015"",
  ""total_amount"": ""152345""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0022.png,38829380,12/25/2017,"18710,63",38829380,12/25/2017,"18710,63","{""invoice_nr"": ""38829380"", ""date"": ""12/25/2017"", ""total_amount"": ""18710,63""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0023.png,49923258,10/26/2011,"1182,50",49923258,10/26/2011,118250,"{""invoice_nr"": 49923258, ""date"": ""10/26/2011"", ""total_amount"": ""118250""}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0024.png,78566408,03/18/2016,"228,68",78566408,03/18/2016,22868,"{
  ""invoice_nr"": ""78566408"",
  ""date"": ""03/18/2016"",
  ""total_amount"": ""22868""
}"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0025.png,95707254,07/20/2020,"302,58",95707254,07/20/2020,"302,58","{
  ""invoice_nr"": ""95707254"",
  ""date"": ""07/20/2020"",
  ""total_amount"": ""302,58""
}"
