image_path,invoice_no_gt,invoice_date_gt,total_gt,invoice_no_pred,invoice_date_pred,total_pred,raw_prediction
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0097.png,,,,54350218,07/29/2018,"438,41","```json
{
  ""invoice_nr"": ""54350218"",
  ""date"": ""07/29/2018"",
  ""total_amount"": ""438,41""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0104.png,,,,70123184,01/28/2016,"681,81","```json
{
  ""invoice_nr"": ""70123184"",
  ""date"": ""01/28/2016"",
  ""total_amount"": ""681,81""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0147.png,,,,60241381,10/02/2018,"115,39","```json
{
  ""invoice_nr"": ""60241381"",
  ""date"": ""10/02/2018"",
  ""total_amount"": ""115,39""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0156.png,,,,59932057,01/17/2021,"18120,00","```json
{
  ""invoice_nr"": ""59932057"",
  ""date"": ""01/17/2021"",
  ""total_amount"": ""18120,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0102.png,,,,10823698,09/26/2020,5225734,"```json
{
  ""invoice_nr"": ""10823698"",
  ""date"": ""09/26/2020"",
  ""total_amount"": ""5225734""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0076.png,,,,26838088,05/16/2017,"158,77","```json
{
  ""invoice_nr"": ""26838088"",
  ""date"": ""05/16/2017"",
  ""total_amount"": ""158,77""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0158.png,,,,45802970,03/30/2021,"3686,67","```json
{
  ""invoice_nr"": ""45802970"",
  ""date"": ""03/30/2021"",
  ""total_amount"": ""3686,67""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0080.png,,,,79434652,06/22/2013,"210,11","```json
{
  ""invoice_nr"": ""79434652"",
  ""date"": ""06/22/2013"",
  ""total_amount"": ""210,11""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0031.png,,,,40703934,03/10/2016,"217,48","```json
{
  ""invoice_nr"": ""40703934"",
  ""date"": ""03/10/2016"",
  ""total_amount"": ""217,48""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0048.png,,,,87970852,05/16/2018,"304,58","```json
{
  ""invoice_nr"": ""87970852"",
  ""date"": ""05/16/2018"",
  ""total_amount"": ""304,58""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0140.png,,,,19512841,06/18/2012,"1002,64","```json
{
  ""invoice_nr"": ""19512841"",
  ""date"": ""06/18/2012"",
  ""total_amount"": ""1002,64""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0035.png,,,,93411242,01/07/2017,"716,07","```json
{
  ""invoice_nr"": ""93411242"",
  ""date"": ""01/07/2017"",
  ""total_amount"": ""716,07""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0179.png,,,,65166425,11/14/2020,"125,94","```json
{
  ""invoice_nr"": ""65166425"",
  ""date"": ""11/14/2020"",
  ""total_amount"": ""125,94""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0007.png,,,,94689364,01/12/2015,"33776,06","```json
{
  ""invoice_nr"": ""94689364"",
  ""date"": ""01/12/2015"",
  ""total_amount"": ""33776,06""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0101.png,,,,27301261,10/09/2012,"494,96","```json
{
  ""invoice_nr"": ""27301261"",
  ""date"": ""10/09/2012"",
  ""total_amount"": ""494,96""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0121.png,,,,19961329,02/24/2015,"40,69","```json
{
  ""invoice_nr"": ""19961329"",
  ""date"": ""02/24/2015"",
  ""total_amount"": ""40,69""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0115.png,,,,69941787,03/03/2012,3233818,"```json
{
  ""invoice_nr"": ""69941787"",
  ""date"": ""03/03/2012"",
  ""total_amount"": ""3233818""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0067.png,,,,93769983,06/01/2019,"26309,40","```json
{
  ""invoice_nr"": ""93769983"",
  ""date"": ""06/01/2019"",
  ""total_amount"": ""26309,40""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0119.png,,,,39390025,01/17/2019,"1211,20","```json
{
  ""invoice_nr"": ""39390025"",
  ""date"": ""01/17/2019"",
  ""total_amount"": ""1211,20""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0024.png,,,,78566408,03/18/2016,"207,89","```json
{
  ""invoice_nr"": ""78566408"",
  ""date"": ""03/18/2016"",
  ""total_amount"": ""207,89""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0175.png,,,,81296657,09/14/2018,"1059,91","```json
{
  ""invoice_nr"": ""81296657"",
  ""date"": ""09/14/2018"",
  ""total_amount"": ""1059,91""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0145.png,,,,99788357,10/14/2018,"4,36","```json
{
  ""invoice_nr"": ""99788357"",
  ""date"": ""10/14/2018"",
  ""total_amount"": ""4,36""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0163.png,,,,34287467,06/21/2017,20274,"```json
{
  ""invoice_nr"": ""34287467"",
  ""date"": ""06/21/2017"",
  ""total_amount"": 20274
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0118.png,,,,59482422,02/22/2016,"849,37","```json
{
  ""invoice_nr"": ""59482422"",
  ""date"": ""02/22/2016"",
  ""total_amount"": ""849,37""
}
```"
